title,artist,genre
I Found You (with Calvin Harris),benny blanco,pop
Now That I Found You,Carly Rae Jepsen,pop
All Comes Back To You,R3HAB,pop
Need U,DVBBS,pop
First Love,Lost Kings,pop
Something Real,Armin van Buuren,pop
TIME,Alesso,pop
Something About You (with Rudimental),Elderbrook,pop
Home (feat. Bonn),Martin Garrix,pop
Simple (STVW Remix),FANNYPACK,pop
Sorry,Joel Corry,pop
Spicy (with Diplo & Charli XCX),Herve Pagez,pop
The Upside (feat. Elle King),Lindsey Stirling,pop
Stay,Zedd,pop
Million Voices,Armin van Buuren,pop
"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,pop
Closer (feat. Halsey),The Chainsmokers,pop
Say My Name (feat. Zyra) - RAC Mix,ODESZA,pop
Clarity,Zedd,pop
Solo (feat. Demi Lovato),Clean Bandit,pop
Scared to Be Lonely,Martin Garrix,pop
Friends (with BloodPop®),Justin Bieber,pop
RITMO (Bad Boys For Life),The Black Eyed Peas,pop
Promises (with Sam Smith),Calvin Harris,pop
Turn Me On (feat. Vula),Riton,pop
Light,San Holo,pop
2U,David Guetta,pop
Something Just Like This,The Chainsmokers,pop
One Kiss (with Dua Lipa),Calvin Harris,pop
Heroes (we could be),Alesso,pop
It Ain’t Me (with Selena Gomez),Kygo,pop
Let Me Love You (Until You Learn To Love Yourself),Ne-Yo,pop
Let Me Love You,DJ Snake,pop
Roses,The Chainsmokers,pop
Stay The Night - Featuring Hayley Williams Of Paramore,Zedd,pop
Latch,Disclosure,pop
Flames,David Guetta,pop
Sorry,Justin Bieber,pop
This Is What You Came For,Calvin Harris,pop
Wake Me Up,Avicii,pop
In My Mind,Dynoro,pop
Titanium (feat. Sia),David Guetta,pop
Where Are Ü Now,Skrillex,pop
Firework,Katy Perry,pop
Mi Gente (feat. Beyoncé),J Balvin,pop
Don't You Worry Child - Radio Edit,Swedish House Mafia,pop
"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,pop
Anything Could Happen,Ellie Goulding,pop
Poker Face,Lady Gaga,pop
How Deep Is Your Love,Calvin Harris,pop
In Your Eyes (feat. Alida),Robin Schulz,pop
Wish You Well (with Sigala),Sigala,pop
With You - LöKii Remix,Kaskade,pop
Dive,Hot Shade,pop
No Goodbye,Paul Kalkbrenner,pop
Work,MOTi,pop
Instagram,Dimitri Vegas & Like Mike,pop
Better Off Without You (feat. Shift K3Y),Becky Hill,pop
Butterfly,Molella,pop
All The Love You Got,MOTi,pop
Call You Mine - Asketa & Natan Chaim Remix,The Chainsmokers,pop
Love Is Not Enough,GATTÜSO,pop
Lose Control,MEDUZA,pop
I Wanna Dance,Jonas Blue,pop
After The Landslide - Club Remix,Matt Simons,pop
Midnight Hour with Boys Noize & Ty Dolla $ign,Skrillex,pop
Pon de Replay,Ed Marquis,pop
So Close,NOTD,pop
Look Into My Eyes,Brando,pop
Not in Control,Glaceo,pop
BLUE,Tiësto,pop
